symbol	ID	name	location	list	UNCcoxP	UNCcoxB	ICGCcoxP	ICGCcoxB
ABCA12	26154	A_23_P56369	chr2:215507149-215507090	basal	0.224	0.204	0.958	-0.031
ACSF2	80221	A_23_P4190	chr17:45906354-45906607	basal	0.606	0.092	0.419	0.132
ADAM8	101	A_24_P300777	chr10:134926042-134925983	basal	0.048	0.170	0.961	-0.006
ADAM9	8754	A_32_P80678	chr8:38999948-39002484	basal	0.588	0.091	0.028	0.279
ADORA2B	136	A_23_P55477	chr17:15819576-15819635	basal	0.151	0.183	0.461	0.083
AFAP1L2	84632	A_24_P33770	chr10:116052108-116051176	basal	0.907	-0.025	0.612	0.079
AHNAK2	113146	A_24_P178618	chr14:104491361-104491302	basal	0.498	0.073	0.792	0.032
AMIGO2	347902	A_23_P14083	chr12:45757257-45757198	basal	0.929	0.010	0.346	-0.513
ANO1	55107	A_24_P110831	chr11:69687269-69687328	basal	0.150	0.205	0.181	0.249
ANXA1	301	A_23_P94501	chr9:74974822-74974881	basal	0.497	0.084	0.281	0.238
ANXA2	302	A_32_P148345	chr15:58426939-58426880	basal	0.111	0.293	0.808	0.065
ANXA2P1	303	A_24_P204244	chr4:154448092-154448071	basal	0.237	0.169	0.411	-0.119
ANXA8L2	244	A_23_P395054	chr10:47226715-47228887	basal	0.042	0.122	0.002	0.269
AP1S3	130340	A_23_P385295	chr2:224348909-224346301	basal	0.662	0.065	0.916	-0.019
AREG	374	A_23_P259071	chr4:75539382-75539441	basal	0.040	0.170	0.660	-0.387
ARHGAP23	57636	A_24_P920207	chr17:33922091-33922150	basal	0.066	-0.185	0.017	0.996
ASAP2	8853	A_23_P40088	chr2:9461087-9461146	basal	0.356	-0.147	0.366	0.204
ASPH	444	A_24_P295245	chr8:62759212-62759153	basal	0.673	0.075	0.104	0.508
ATP6V1C2	245973	A_24_P276932	chr2:10841693-10841752	basal	0.717	0.126	0.046	-1.252
ATP8B3	148229	A_24_P342226	chr19:1749822-1749763	basal	0.002	0.467	0.076	0.215
B3GNT5	84002	A_23_P18372	chr3:184473627-184473686	basal	0.273	0.187	0.375	0.104
BCAR3	8412	A_23_P97394	chr1:93800386-93800327	basal	0.526	0.096	0.125	0.324
BEAN	146227	A_32_P153195	chr16:65074097-65074156	basal	0.264	0.088	0.170	0.286
C12orf54	121273	A_23_P405878	chr12:47176324-47176383	basal	0.750	0.039	0.147	0.359
C15orf48	84419	A_23_P26024	chr15:43512587-43512646	basal	0.007	0.250	0.893	-0.025
C16orf74	404550	A_24_P289178	chr16:84298786-84298727	basal	0.049	0.213	0.001	0.487
C1orf58	148362	A_23_P359636	chr1:220971460-220972630	basal	0.018	0.595	0.127	-0.615
C1orf97	84791	A_23_P1014	chr1:209672363-209672422	basal	0.002	0.436	0.131	0.297
C22orf41	644186	A_24_P659836	chr22:49336468-49336410	basal	0.006	0.378	1.000	0.000
C6orf15	29113	A_24_P72364	chr6:31187374-31187315	basal	0.065	0.208	0.255	0.062
CALB2	794	A_23_P21092	chr16:69977010-69981169	basal	0.333	0.069	0.872	-0.022
CAPNS2	84290	A_23_P152406	chr16:54158879-54158938	basal	0.655	0.058	0.002	0.564
CAPS	828	A_23_P78958	chr19:5866818-5866877	basal	0.001	0.340	0.893	-0.016
CATSPER1	117144	A_23_P52676	chr11:65541149-65540947	basal	0.109	0.155	0.450	0.099
CCDC6	8030	A_32_P184279	chr10:61218676-61218617	basal	0.954	-0.014	0.176	-0.451
CCNG2	901	A_24_P80532	chr4:78301734-78301883	basal	0.676	0.110	0.577	0.121
CD109	135228	A_23_P214176	chr6:74590038-74590097	basal	0.951	-0.009	0.370	0.108
CDCP1	64866	A_23_P32474	chr3:45102513-45102454	basal	0.027	0.431	0.251	0.207
CDH3	1001	A_23_P49155	chr16:67290313-67290372	basal	0.132	0.112	0.898	-0.012
CDKN2A	1029	A_23_P43490	chr9:21958098-21958039	basal	0.577	0.041	0.724	0.045
CELSR1	9620	A_23_P132378	chr22:45136170-45136111	basal	0.407	0.107	0.113	0.894
CGB	1082	A_24_P395814	chr19:54218112-54218053	basal	0.157	0.186	0.230	0.112
CHST6	4166	A_23_P106922	chr16:74064547-74064523	basal	0.002	0.282	0.048	0.317
CLDN1	9076	A_23_P57784	chr3:191506754-191506695	basal	0.385	0.095	0.696	0.083
CLIC3	9022	A_23_P254654	chr9:139009074-139009015	basal	0.136	0.126	0.473	-0.072
COL17A1	1308	A_23_P52323	chr10:105781832-105781773	basal	0.170	0.079	0.055	0.154
COL7A1	1294	A_23_P144071	chr3:48577592-48577405	basal	0.034	0.231	0.113	0.149
COX6B2	125965	A_23_P78571	chr19:60553979-60553920	basal	0.368	0.103	0.696	0.081
CSF2	1437	A_23_P133408	chr5:131439351-131439410	basal	0.110	0.225	0.026	0.282
CST6	1474	A_23_P146946	chr11:65537414-65537473	basal	0.018	0.135	0.149	0.140
CTNNBIP1	56998	A_23_P23584	chr1:9831034-9830975	basal	0.601	0.107	0.065	-0.478
CTSL2	1515	A_23_P146456	chr9:98835032-98834973	basal	0.010	0.245	0.305	0.093
CXorf61	203413	A_23_P432352	chrX:115507053-115506994	basal	0.189	0.100	0.201	-0.216
CYB5R2	51700	A_23_P2181	chr11:7642987-7642928	basal	0.001	0.527	0.104	-0.592
DCBLD2	131566	A_24_P137434	chr3:100051119-100051060	basal	0.024	0.275	0.002	0.400
DDIT4	54541	A_23_P104318	chr10:73705369-73705428	basal	0.039	0.274	0.039	0.410
DDX60	55601	A_23_P41470	chr4:169379525-169379466	basal	0.190	0.206	0.353	0.147
DEFB103A	55894	A_23_P169017	chr8:7777467-7777526	basal	0.014	0.253	0.308	0.267
DHRS9	10170	A_23_P56559	chr2:169660621-169660680	basal	0.229	0.061	0.147	0.145
DKK1	22943	A_23_P24129	chr10:53746693-53746752	basal	0.071	0.122	0.021	0.210
DMKN	93099	A_23_P320261	chr19:40680034-40679975	basal	0.254	0.123	0.143	0.186
DSC3	1825	A_24_P344416	chr18:26825092-26825033	basal	0.151	0.230	0.000	0.606
DSG3	1830	A_23_P153120	chr18:27310283-27310342	basal	0.022	0.163	0.015	0.176
DUSP5	1847	A_23_P150018	chr10:112260890-112260949	basal	0.433	0.087	0.008	0.434
DUSP6	1848	A_23_P139704	chr12:88266334-88266275	basal	0.975	0.004	0.189	0.208
EGFR	1956	A_23_P215790	chr7:55242335-55242394	basal	0.531	-0.112	0.003	1.448
EPHA2	1969	A_23_P149281	chr1:16328559-16324387	basal	0.755	0.036	0.170	0.203
EPS8L2	64787	A_23_P147822	chr11:716918-716977	basal	0.061	0.259	0.996	-0.002
EREG	2069	A_23_P41344	chr4:75472873-75472932	basal	0.009	0.293	0.561	0.215
ERO1L	30001	A_24_P407311	chr14:52178514-52178455	basal	0.118	0.195	0.446	0.118
EZR	7430	A_24_P290481	chr6:159124579-159117505	basal	0.021	0.313	0.939	0.023
F3	2152	A_23_P126782	chr1:94768535-94768476	basal	0.718	-0.058	0.037	0.303
FAM25C	644054	A_32_P34138	chr10:47872049-47872108	basal	0.022	0.228	0.980	0.008
FAM3C	10447	A_23_P157371	chr7:120777663-120777604	basal	0.078	-0.245	0.211	0.191
FAM83A	84985	A_24_P43810	chr8:124275519-124288586	basal	0.066	0.230	0.056	0.164
FAM84B	157638	A_32_P437227	chr8:127638820-127638761	basal	0.802	0.070	0.581	0.089
FANK1	92565	A_23_P115785	chr10:127687781-127687946	basal	0.081	0.317	0.689	-0.224
FGD6	55785	A_24_P179407	chr12:94007478-94003759	basal	0.242	0.194	0.164	0.195
FGFBP1	9982	A_23_P30126	chr4:15546489-15546430	basal	0.442	0.045	0.375	0.060
FLJ46111	283102	A_24_P489690	chr11:9073498-9073557	basal	0.050	0.380	1.000	0.000
FRMD5	84978	A_23_P26037	chr15:41953181-41953122	basal	0.022	0.291	0.094	0.505
GJB4	127534	A_23_P23885	chr1:34999400-34999459	basal	0.322	0.242	0.347	0.095
GJB5	2709	A_23_P35293	chr1:34995896-34995955	basal	0.278	0.110	0.419	0.083
